,Cell names,p_vals
100,CCL18_Macrophages x Endocardial_Endo,0.03370151629682773
101,Mast x healthy_CM,0.02988976957279417
102,NK x damaged_CM,0.027207590229486732
103,Arterial_Endo x healthy_CM,0.21993266524227337
104,Pericyte_1 x damaged_CM,0.027340765517389013
105,Fib_0 x prolif,0.027821774384919173
106,Endocardial_Endo x LYVE_PLTP_Macrophages,0.02852112820659919
107,CD8 x perivascular_fibroblasts,0.03187689340003119
108,Pericyte_2 x healthy_CM,0.038103069588763805
109,Neuronal x damaged_CM,0.028906402822764427
110,Fib_3 x healthy_CM,0.1198769335641586
111,CD4 x perivascular_fibroblasts,0.03230567313194098
112,prolif x vSMCs_1,0.029542088915308722
113,Myofib x vSMCs_2,0.04700182322656699
114,vSMCs_1 x vSMCs_2,0.03937533988429537
115,CD4 x Venous_Endo,0.040153749682747784
116,Myofib x Pericyte_2,0.039940618378678794
117,NK x intermediate_CM,0.03403781221104613
118,Mast x perivascular_fibroblasts,0.04311949902217492
119,CD8 x Venous_Endo,0.04541787251326513
120,CD8 x vSMCs_2,0.045307700748956695
121,CD8 x Myofib,0.04383745071934719
122,CCL18_Macrophages x perivascular_fibroblasts,0.04884720555494327
123,NK_T x vCM_3,0.059944846366398546
124,CD8 x prolif,0.0438515982682842
125,CD8 x intermediate_CM,0.037173454579657136
126,CD8 x healthy_CM,0.0558847736124973
127,CD4 x Myofib,0.04420577163458114
128,Arterial_Endo x CCL18_Macrophages,0.05709372034582841
129,LYVE_PLTP_Macrophages x healthy_CM,0.058065677757061486
130,LYVE_FOLR_Macrophages x perivascular_fibroblasts,0.04966443064081078
131,Fib_0 x SPP1_Macrophages,0.06273646934308902
132,Fib_SCARA5 x Venous_Endo,0.04413699673718813
133,Monocytes x Myofib,0.05830751827898603
134,SPP1_Macrophages x healthy_CM,0.055474590656952094
135,CD4 x healthy_CM,0.0616960598161969
136,Myofib x Myofib,0.06714783522249548
137,NK_T x vSMCs_2,0.0554116543463555
138,CD4 x intermediate_CM,0.05045446190116244
