,Cell names,p_vals
0,Myofib x Venous_Endo,3.26819875594563e-05
1,Arterial_Endo x Myofib,7.146776130335999e-05
2,Lymphatic_Endo x Venous_Endo,0.0001926239008238583
3,Fib_0 x Venous_Endo,0.00012650496870733022
