,Cell name,Expression pattern,Slope,Fitted function,Intercept,Treat,Treat2,adjusted P-value,R-squared,mod_rsquared_adj
0,Fib_0 x Myofib,linear up quadratic down,0.3634681945580901,linear_quadratic,0.009934039625111302,0.822487638260587,-0.2569200554763217,5.08249249205155e-06,0.6908001342611991,0.8454000671305995
1,Fib_0 x Fib_0,linear up,0.4011785624667289,linear,0.08316339711184945,0.4011785624667289,nan,5.08249249205155e-06,0.6518437434820281,0.8259218717410141
2,Myofib x SPP1_Macrophages,linear up,0.12180085435987431,linear,-0.010322256848005432,0.12180085435987432,nan,6.6064224806483e-05,0.5351150811822576,0.7675575405911288
